version,0.022,,,,,,,,,,,,,Lavar,,,,,,,,
Member Label,Member Description,P_Familj,Group Name,Variable Name,Internet link,Latin,P_Storaarter,P_Ris,P_BuskarTrad,P_Barande,P_Habitat_gräsm,P_Habitat_våtm,P_Mossor,P_Lavar,P_H8230,P_Vatten,P_Kalk,P_Dike,P_Kalkhällmark,P_Artrikt,P_Hällmark,P_naturahabitat
0 arter saknas,Artprovytan tom,,SmaProvArt,SPY_utgar,https://interfacelift.com/wallpaper/7yz4ma1/03338_emptiness_1024x1024.jpg,,,,,,,,,,,,Std,,,,,
Adam och Eva,Dactylorhiza sambucina,Orkideer,SmaProvArt,Adam_och_eva,http://linnaeus.nrm.se/flora/mono/orchida/dacty/dactlat.html,Dactylorhiza sambucina,,,,,,,,,T,,Kalk,,Kalkhällmark,,Hällmark,
Alvarfibbla,Crepis tectorum ssp. pumila,Korgblommiga,SmaProvArt,Alvarfibbla,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Alvarglim,Silene uniflora ssp. petraea,Nejlikväxter,SmaProvArt,Alvarglim,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Alvarmalört,Artemisia oelandica,Korgblommiga,SmaProvArt,Alvarmalort,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Axveronika,Veronica spicata,Grobladsväxter,SmaProvArt,Axveronika,https://sv.wikipedia.org/wiki/Axveronika,Veronica spicata,,,,,Gräsmark,,,,K,,Kalk,,Kalkhällmark,Artrikt,Hällmark,
Backskafting,Brachypodium pinnatum,Gräs,SmaProvArt,Backskafting,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Bergskrabba,Globularia vulgaris,Grobladsväxter,SmaProvArt,Bergskrabba,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Blåeld,Echium vulgare,Strävbladiga,SmaProvArt,Blaeld,https://sv.wikipedia.org/wiki/Bl%C3%A5eld,Echium vulgare,,,,,,,,,,,Kalk,,Kalkhällmark,Artrikt,,
Blåsippa,Hepatica nobilis,Ranunkelväxter,SmaProvArt,Blasippa,https://sv.wikipedia.org/wiki/Bl%C3%A5sippa,Hepatica nobilis,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Brudsporre,Gymnadenia conopsea,Orkideer,SmaProvArt,Brudsporre,https://sv.wikipedia.org/wiki/Brudsporre,Gymnadenia conopsea,,,,,Gräsmark,Våtmark,,,,,Kalk,,Kalkhällmark,,,
Bågsvingel,Festuca rubra ssp. oelandica,Gräs,SmaProvArt,Bagsvingel,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Dikesveronika,Veronica catenata,Grobladsväxter,SmaProvArt,Dikesveronika,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Duvnäva,Geranium columbinum,Näveväxter,SmaProvArt,Duvnava,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Dvärgkämpar,Plantago tenuiflora,Grobladsväxter,SmaProvArt,Dvargkampar,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Fjällgröe,Poa alpina,Gräs,SmaProvArt,Fjallgroe,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Fältsippa,Pulsatilla pratensis,Ranunkelväxter,SmaProvArt,Faltsippa,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Fältvedel,Oxytropis campestris,Ärtväxter,SmaProvArt,Faltvedel,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Fältvädd,Scabiosa columbaria,Kaprifolväxter,SmaProvArt,Faltvadd,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Färgmåra,Asperula tinctoria,Måreväxter,SmaProvArt,Fargmara,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Gotlandssolvända,Fumana procumbens,Solvändeväxter,SmaProvArt,Gotlandssolvanda,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Gruskammossa,Abietinella abietina,Mossor,SmaProvArt,Gruskammossa,https://sv.wikipedia.org/wiki/Gruskammossa,Abietinella abietina,,,,,,,Mossor,,K,,Kalk,,Kalkhällmark,,Hällmark,
Grusslok,Melica ciliata,Gräs,SmaProvArt,Grusslok,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Grusviva,Androsace septentrionalis,Viveväxter,SmaProvArt,Grusviva,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Gräslök/alvargräslök,Allium schoenoprasum,Lökar,SmaProvArt,Graslok_Alvargraslok,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Hårgrimmia,Grimmia pulvinata,Mossor,SmaProvArt,Hargrimmia,,,,,,,,,Mossor,,,,Kalk,,Kalkhällmark,,,
Kalkbräken,Gymnocarpium robertianum,Ormbunksväxter,SmaProvArt,Kalkbraken,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Kalkhedslav m.fl.,Cladonia symphycarpia/ C. pusillum,Lavar,SmaProvArt,Kalkhedslav,,,,,,,,,,Lavar,,,Kalk,,Kalkhällmark,,,
Kalkkrassing,Sisymbrium supinum,Korsblommiga,SmaProvArt,Kalkkrassing,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Kalklockmossa,Homalothecium lutescens,Mossor,SmaProvArt,Kalklockmossa,,,,,,,,,Mossor,,,,Kalk,,Kalkhällmark,,,
Kalkmossor,Tortella spp.,Mossor,SmaProvArt,Kalkmossor,https://sv.wikipedia.org/wiki/Kalkmossor,Tortella,,,,,,,Mossor,,,,Kalk,,Kalkhällmark,,,
Kalkstenslav,Aspicilia calcarea,Lavar,SmaProvArt,Kalkstenlav,,,,,,,,,,Lavar,,,Kalk,,Kalkhällmark,,,
Klipplök,Allium lineare,,SmaProvArt,Klipplok,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Knutnarv,Sagina nodosa,Nejlikväxter,SmaProvArt,Knutnarv,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Korvgulmossa,Drepanocladus turgescens,Mossor,SmaProvArt,Korvgulmossa,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Korvskorpionmossa,Scorpidium scorpioides,Mossor,SmaProvArt,Korvskorpionmossa,,,,,,,,,,,,Vatten,Kalk,,Kalkhällmark,,,
Krissla,Inula salicina,Korgblommiga,SmaProvArt,Krissla,,,,,,,Gräsmark,,,,,,Kalk,,Kalkhällmark,,,
Kärrkavle,Alopecurus geniculatus,Gräs,SmaProvArt,Karrkavle,https://sv.wikipedia.org/wiki/K%C3%A4rrkavle,Alopecurus geniculatus,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Luddkrissla,Inula britannica,Korgblommiga,SmaProvArt,Luddkrissla,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Lund-/kalktrav,Arabis hirsuta var. hirsuta/glaberrima,Korsblommiga,SmaProvArt,Lundtrav_kalktrav,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Lökgamander,Teucrium scordium,Kransblommiga,SmaProvArt,Lokgamander,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Majviva,Primula farinosa,Viveväxter,SmaProvArt,Majviva,https://sv.wikipedia.org/wiki/Majviva,Primula farinosa,,,,,Gräsmark,Våtmark,,,,,Kalk,,Kalkhällmark,,,
Murruta,Asplenium ruta-muraria,Ormbunksväxter,SmaProvArt,Murruta,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Plyschgrusmossa,Ditrichum flexicaule,Mossor,SmaProvArt,Plyschgrusmossa,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Praktbrunört,Prunella grandiflora,Kransblommiga,SmaProvArt,Praktbrunort,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Rosettjungfrulin,,,SmaProvArt,Rosettjungfrulin,,,,,,,Gräsmark,,,,,,Kalk,,Kalkhällmark,,,
Råttsvans,Myosurus minimus,Ranunkelväxter,SmaProvArt,Rattsvans,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Rödmire,Anagallis arvensis,Viveväxter,SmaProvArt,Rodmire,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Sankt P-/göknycklar,Orchis mascula/ Anacamptis morio,Orkideer,SmaProvArt,Sanktpersnycklar_goknycklar,,,,,,,Gräsmark,,,,,,Kalk,,Kalkhällmark,,,
Skogssallat,Lactuca muralis,Korgblommiga,SmaProvArt,Skogssallat,https://sv.wikipedia.org/wiki/Skogssallat,Lactuca muralis,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Slankstarr,Carex flacca,Halvgräs,SmaProvArt,Slankstarr,https://sv.wikipedia.org/wiki/Slankstarr,Carex flacca,,,,,Gräsmark,Våtmark,,,,,Kalk,,Kalkhällmark,,,
Slåtterfibbla,Hypochaeris maculata,Korgblommiga,SmaProvArt,Slatterfibbla,https://sv.wikipedia.org/wiki/Sl%C3%A5tterfibbla,Hypochaeris maculata,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Slät klockmossa,Encalypta vulgaris,Mossor,SmaProvArt,Slat_klockmossa,,,,,,,,,Mossor,,,,Kalk,,Kalkhällmark,,,
Spåtistel,Carlina vulgaris,Korgblommiga,SmaProvArt,Spatistel,,,,,,,Gräsmark,,,,,,Kalk,,Kalkhällmark,,,
Stenkrassing,Hornungia petraea,Korsblommiga,SmaProvArt,Stenkrassing,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Stenmalört,Artemisia rupestris,Korgblommiga,SmaProvArt,Stenmalort,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Stor fetknopp,Sedum rupestre,Fetbladsväxter,SmaProvArt,Stor_fetknopp,https://sv.wikipedia.org/wiki/stor_fetknopp,Sedum rupestre,,,,,,,,,K,,Kalk,,Kalkhällmark,,Hällmark,
Stor klockmossa,Encalypta streptocarpa,Mossor,SmaProvArt,Stor_klockmossa,,,,,,,,,Mossor,,,,Kalk,,Kalkhällmark,,,
"Stångfibbl, övriga",Pilosella spp.,Korgblommiga,SmaProvArt,Stangfibblor,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Sumpförgätmigej,Myosotis laxa,Strävbladiga,SmaProvArt,Sumpforgatmigej,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Svartbräken,Asplenium trichomanes,Ormbunksväxter,SmaProvArt,Svartbraken,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
Säcklav,Solorina saccata,Lavar,SmaProvArt,Sacklav,http://www.nrm.se/faktaomnaturenochrymden/vaxter/kryptogamer/manadenskryptogam/lavar/sacklavarkalkalskandelavar.3706.html,Solorina saccata,,,,,,,,Lavar,,,Kalk,,,,Hällmark,
Toppjungfrulin,Polygala comosa,Jungfrulinsväxter,SmaProvArt,Toppjungfrulin,,,,,,,,,,,,,Kalk,,Kalkhällmark,,,
